raw_step,step,control_input,control_output
402,0,0,0
403,1,0.016675,0
404,2,0.050025,0
405,3,0.083375,0
406,4,0.116725,0
407,5,0.150075,0
408,6,0.183425,0
409,7,0.216775,0
410,8,0.250125,0
411,9,0.283475,0
412,10,0.316825,0
413,11,0.350175,0
414,12,0.383525,0
415,13,0.416875,0
416,14,0.450225,0
417,15,0.483575,0
418,16,0.516672,0.0151955
419,17,0.548079,0.101303
420,18,0.575939,0.227932
421,19,0.599576,0.354561
422,20,0.619412,0.455865
423,21,0.636799,0.501451
424,22,0.652496,0.557168
425,23,0.666674,0.592624
426,24,0.679725,0.624704
427,25,0.691762,0.653406
428,26,0.703237,0.658471
429,27,0.713951,0.698993
430,28,0.723821,0.709123
431,29,0.733183,0.729384
432,30,0.741983,0.742891
433,31,0.750276,0.759775
434,32,0.758034,0.77497
435,33,0.765511,0.776658
436,34,0.772988,0.77497
437,35,0.779901,0.810426
438,36,0.786561,0.790166
439,37,0.79294,0.82731
440,38,0.798558,0.835752
441,39,0.804177,0.82731
442,40,0.809373,0.861078
443,41,0.814175,0.850947
444,42,0.818977,0.861078
445,43,0.823525,0.866143
446,44,0.827793,0.877962
447,45,0.831806,0.881338
448,46,0.83582,0.877962
449,47,0.83958,0.896534
450,48,0.843059,0.894846
451,49,0.846566,0.894846
452,50,0.850045,0.896534
453,51,0.853242,0.911729
454,52,0.855932,0.926925
455,53,0.858369,0.926925
456,54,0.860497,0.945497
457,55,0.862314,0.945497
458,56,0.864188,0.94212
459,57,0.866062,0.945497
460,58,0.86788,0.945497
461,59,0.8695,0.957316
462,60,0.87084,0.962381
463,61,0.872179,0.957316
464,62,0.873518,0.962381
465,63,0.874857,0.957316
466,64,0.876196,0.962381
467,65,0.877281,0.972511
468,66,0.878367,0.962381
469,67,0.879453,0.972511
470,68,0.880538,0.962381
471,69,0.881511,0.979265
472,70,0.882316,0.972511
473,71,0.88312,0.979265
474,72,0.88367,0.987707
475,73,0.884221,0.979265
476,74,0.884772,0.987707
477,75,0.885041,0.996149
478,76,0.885057,1.0029
479,77,0.884791,1.01303
480,78,0.884357,1.01303
481,79,0.884091,1.0029
482,80,0.883825,1.01303
483,81,0.883306,1.0181
484,82,0.882787,1.01303
485,83,0.882268,1.0181
486,84,0.881749,1.01303
487,85,0.881483,1.0029
488,86,0.881217,1.01303
489,87,0.880952,1.0029
490,88,0.880686,1.01303
491,89,0.880533,0.996149
492,90,0.880295,1.0181
493,91,0.880058,0.996149
494,92,0.87982,1.0181
495,93,0.879583,0.996149
496,94,0.879345,1.0181
497,95,0.878826,1.01303
498,96,0.87856,1.0029
499,97,0.878294,1.01303
500,98,0.87786,1.01303
501,99,0.877341,1.0181
502,100,0.876822,1.01303
503,101,0.876302,1.0181
504,102,0.875783,1.01303
505,103,0.875264,1.0181
506,104,0.874745,1.01303
507,105,0.874479,1.0029
508,106,0.874214,1.01303
509,107,0.873779,1.01303
510,108,0.873513,1.0029
511,109,0.873529,0.996149
512,110,0.873545,1.0029
513,111,0.873561,0.996149
514,112,0.873577,1.0029
515,113,0.873311,1.01303
516,114,0.873045,1.0029
517,115,0.872779,1.01303
518,116,0.872626,0.996149
519,117,0.872642,1.0029
520,118,0.872376,1.01303
521,119,0.872111,1.0029
522,120,0.871761,1.0181
523,121,0.871523,0.996149
524,122,0.87137,1.01303
525,123,0.871104,1.0029
526,124,0.870838,1.01303
527,125,0.870573,1.0029
528,126,0.870589,0.996149
529,127,0.870435,1.01303
530,128,0.87017,1.0029
531,129,0.870073,1.0029
532,130,0.869807,1.01303
533,131,0.869654,0.996149
534,132,0.86967,1.0029
535,133,0.869686,0.996149
536,134,0.869702,1.0029
537,135,0.869717,0.996149
538,136,0.869846,0.996149
539,137,0.870115,0.987707
540,138,0.870384,0.996149
541,139,0.870653,0.987707
542,140,0.870923,0.996149
543,141,0.870939,1.0029
544,142,0.871236,0.979265
545,143,0.871787,0.987707
546,144,0.872056,0.996149
547,145,0.872325,0.987707
548,146,0.872594,0.996149
549,147,0.873004,0.979265
550,148,0.873555,0.987707
551,149,0.874106,0.979265
552,150,0.874656,0.987707
553,151,0.874926,0.996149
554,152,0.875195,0.987707
555,153,0.875746,0.979265
556,154,0.876043,1.0029
557,155,0.876059,0.996149
558,156,0.876187,0.996149
559,157,0.876456,0.987707
560,158,0.876444,1.01303
561,159,0.876178,1.0029
562,160,0.876194,0.996149
563,161,0.875957,1.0181
564,162,0.875438,1.01303
565,163,0.875172,1.0029
566,164,0.874906,1.01303
567,165,0.874753,0.996149
568,166,0.874515,1.0181
569,167,0.874278,0.996149
570,168,0.874294,1.0029
571,169,0.874309,0.996149
572,170,0.874325,1.0029
573,171,0.87406,1.01303
574,172,0.874047,0.987707
575,173,0.874035,1.01303
576,174,0.873882,0.996149
577,175,0.874151,0.987707
578,176,0.874139,1.01303
579,177,0.874126,0.987707
580,178,0.874396,0.996149
581,179,0.874411,1.0029
582,180,0.874146,1.01303
583,181,0.87388,1.0029
584,182,0.873614,1.01303
585,183,0.87318,1.01303
586,184,0.87266,1.0181
587,185,0.872141,1.01303
588,186,0.871876,1.0029
589,187,0.87161,1.01303
590,188,0.871091,1.0181
591,189,0.870572,1.01303
592,190,0.870306,1.0029
593,191,0.87004,1.01303
594,192,0.869775,1.0029
595,193,0.86979,0.996149
596,194,0.869806,1.0029
597,195,0.869822,0.996149
598,196,0.86995,0.996149
599,197,0.87022,0.987707
600,198,0.870489,0.996149
601,199,0.870505,1.0029
602,200,0.870521,0.996149
603,201,0.87079,0.987707
604,202,0.871059,0.996149
605,203,0.854653,0.987707
