raw_step,step,control_input,result
402,0,0,0
403,1,0.019,0
404,2,0.057,0
405,3,0.095,0
406,4,0.133,0
407,5,0.171,0
408,6,0.209,0
409,7,0.247,0
410,8,0.285,0
411,9,0.323,0
412,10,0.361,0
413,11,0.399,0
414,12,0.437,0
415,13,0.4693,0.299979
416,14,0.493222,0.441011
417,15,0.514816,0.422424
418,16,0.536989,0.410596
419,17,0.559162,0.422424
420,18,0.581334,0.410596
421,19,0.603828,0.405527
422,20,0.62661,0.395389
423,21,0.649393,0.405527
424,22,0.671341,0.439321
425,23,0.691748,0.486633
426,24,0.710549,0.523806
427,25,0.727617,0.577876
428,26,0.742759,0.625188
429,27,0.756167,0.66912
430,28,0.768291,0.692776
431,29,0.779549,0.714742
432,30,0.789843,0.743467
433,31,0.798981,0.775571
434,32,0.807477,0.777261
435,33,0.814978,0.827951
436,34,0.821355,0.8364
437,35,0.827412,0.844848
438,36,0.83289,0.866815
439,37,0.837726,0.878642
440,38,0.842274,0.882022
441,39,0.846821,0.878642
442,40,0.851368,0.882022
443,41,0.855916,0.878642
444,42,0.860527,0.878642
445,43,0.865364,0.866815
446,44,0.8702,0.878642
447,45,0.874459,0.897229
448,46,0.878396,0.895539
449,47,0.882333,0.897229
450,48,0.885629,0.929333
451,49,0.888346,0.927644
452,50,0.890742,0.94623
453,51,0.892465,0.963127
454,52,0.893962,0.958058
455,53,0.894818,0.996921
456,54,0.895095,0.988473
457,55,0.895373,0.996921
458,56,0.89565,0.988473
459,57,0.895928,0.996921
460,58,0.896205,0.988473
461,59,0.896483,0.996921
462,60,0.896921,0.980024
463,61,0.897808,0.973265
464,62,0.898696,0.980024
465,63,0.899294,0.988473
466,64,0.899893,0.980024
467,65,0.900491,0.988473
468,66,0.900769,0.996921
469,67,0.901046,0.988473
470,68,0.901324,0.996921
471,69,0.901313,1.00368
472,70,0.901301,0.996921
473,71,0.901418,0.996921
474,72,0.901407,1.00368
475,73,0.901074,1.01382
476,74,0.900742,1.00368
477,75,0.900409,1.01382
478,76,0.899788,1.01889
479,77,0.899488,0.996921
480,78,0.899765,0.988473
481,79,0.899722,1.01382
482,80,0.899196,1.01382
483,81,0.898864,1.00368
484,82,0.898853,0.996921
485,83,0.898841,1.00368
486,84,0.898509,1.01382
487,85,0.898176,1.00368
488,86,0.898165,0.996921
489,87,0.898153,1.00368
490,88,0.897821,1.01382
491,89,0.897777,0.988473
492,90,0.897734,1.01382
493,91,0.897209,1.01382
494,92,0.896876,1.00368
495,93,0.896544,1.01382
496,94,0.895922,1.01889
497,95,0.895301,1.01382
498,96,0.895257,0.988473
499,97,0.895214,1.01382
500,98,0.894882,1.00368
501,99,0.895191,0.980024
502,100,0.895629,0.996921
503,101,0.895618,1.00368
504,102,0.895606,0.996921
505,103,0.895595,1.00368
506,104,0.895583,0.996921
507,105,0.895572,1.00368
508,106,0.89524,1.01382
509,107,0.895196,0.988473
510,108,0.895474,0.996921
511,109,0.895912,0.980024
512,110,0.89651,0.988473
513,111,0.897109,0.980024
514,112,0.897707,0.988473
515,113,0.897985,0.996921
516,114,0.898262,0.988473
517,115,0.898861,0.980024
518,116,0.899748,0.973265
519,117,0.900636,0.980024
520,118,0.901234,0.988473
521,119,0.901833,0.980024
522,120,0.902592,0.980024
523,121,0.903769,0.958058
524,122,0.905266,0.963127
525,123,0.906186,0.988473
526,124,0.906784,0.980024
527,125,0.907672,0.973265
528,126,0.908238,0.996921
529,127,0.908805,0.973265
530,128,0.909692,0.980024
531,129,0.91013,0.996921
532,130,0.910697,0.973265
533,131,0.910942,1.01382
534,132,0.91061,1.00368
535,133,0.910277,1.01382
536,134,0.909656,1.01889
537,135,0.908713,1.03072
538,136,0.907482,1.03409
539,137,0.90625,1.03072
540,138,0.904762,1.04761
541,139,0.90321,1.03409
542,140,0.901657,1.04761
543,141,0.900683,1.00368
544,142,0.90035,1.01382
545,143,0.899729,1.01889
546,144,0.899108,1.01382
547,145,0.899064,0.988473
548,146,0.899021,1.01382
549,147,0.899138,0.980024
550,148,0.900025,0.973265
551,149,0.900591,0.996921
552,150,0.901158,0.973265
553,151,0.902045,0.980024
554,152,0.902355,1.00368
555,153,0.902665,0.980024
556,154,0.903263,0.988473
557,155,0.903541,0.996921
558,156,0.903818,0.988473
559,157,0.904096,0.996921
560,158,0.904534,0.980024
561,159,0.905421,0.973265
562,160,0.905988,0.996921
563,161,0.906554,0.973265
564,162,0.907121,0.996921
565,163,0.907398,0.988473
566,164,0.907676,0.996921
567,165,0.907953,0.988473
568,166,0.908231,0.996921
569,167,0.908348,0.996921
570,168,0.908336,1.00368
571,169,0.908325,0.996921
572,170,0.908025,1.01889
573,171,0.908045,0.980024
574,172,0.908644,0.988473
575,173,0.9086,1.01382
576,174,0.908557,0.988473
577,175,0.908834,0.996921
578,176,0.909112,0.988473
579,177,0.90971,0.980024
580,178,0.910469,0.980024
581,179,0.911068,0.988473
582,180,0.911667,0.980024
583,181,0.912265,0.988473
584,182,0.912864,0.980024
585,183,0.913173,1.00368
586,184,0.912841,1.01382
587,185,0.912219,1.01889
588,186,0.911598,1.01382
589,187,0.910752,1.03072
590,188,0.90952,1.03409
591,189,0.907968,1.04761
592,190,0.906127,1.0493
593,191,0.904285,1.04761
594,192,0.902733,1.03409
595,193,0.90118,1.04761
596,194,0.899628,1.03409
597,195,0.898397,1.03072
598,196,0.897229,1.03072
599,197,0.896287,1.01889
600,198,0.895345,1.03072
601,199,0.894402,1.01889
602,200,0.893973,1.00368
603,201,0.893962,0.996921
604,202,0.893758,1.01382
605,203,0.874714,0.988473
